GLT breakdown Threads: 1, Total: 349.072571, Create: 0.000003, Yield: 349.072556, Join: 0.000011
GLT breakdown Threads: 1, Total: 349.800004, Create: 0.000004, Yield: 349.799990, Join: 0.000010
GLT breakdown Threads: 1, Total: 349.705427, Create: 0.000003, Yield: 349.705412, Join: 0.000012
GLT breakdown Threads: 1, Total: 350.442717, Create: 0.000004, Yield: 350.442702, Join: 0.000011
GLT breakdown Threads: 1, Total: 349.220835, Create: 0.000004, Yield: 349.220818, Join: 0.000013
GLT breakdown Threads: 1, Total: 349.780454, Create: 0.000003, Yield: 349.780441, Join: 0.000010
GLT breakdown Threads: 1, Total: 349.608192, Create: 0.000004, Yield: 349.608176, Join: 0.000012
GLT breakdown Threads: 1, Total: 349.947027, Create: 0.000004, Yield: 349.947012, Join: 0.000011
GLT breakdown Threads: 1, Total: 349.909507, Create: 0.000004, Yield: 349.909489, Join: 0.000014
GLT breakdown Threads: 1, Total: 349.990285, Create: 0.000004, Yield: 349.990268, Join: 0.000013
GLT breakdown Threads: 1, Total: 349.552898, Create: 0.000004, Yield: 349.552884, Join: 0.000010
GLT breakdown Threads: 1, Total: 349.385938, Create: 0.000004, Yield: 349.385924, Join: 0.000010
GLT breakdown Threads: 1, Total: 349.248497, Create: 0.000003, Yield: 349.248484, Join: 0.000010
GLT breakdown Threads: 1, Total: 349.777584, Create: 0.000003, Yield: 349.777569, Join: 0.000012
GLT breakdown Threads: 1, Total: 352.400222, Create: 0.000004, Yield: 352.400205, Join: 0.000013
GLT breakdown Threads: 1, Total: 352.274484, Create: 0.000004, Yield: 352.274469, Join: 0.000010
GLT breakdown Threads: 1, Total: 349.328837, Create: 0.000004, Yield: 349.328822, Join: 0.000011
GLT breakdown Threads: 1, Total: 350.069257, Create: 0.000004, Yield: 350.069242, Join: 0.000011
GLT breakdown Threads: 1, Total: 349.625361, Create: 0.000004, Yield: 349.625346, Join: 0.000011
GLT breakdown Threads: 1, Total: 349.251671, Create: 0.000004, Yield: 349.251656, Join: 0.000011
GLT breakdown Threads: 1, Total: 349.612618, Create: 0.000004, Yield: 349.612603, Join: 0.000011
GLT breakdown Threads: 1, Total: 349.199846, Create: 0.000003, Yield: 349.199831, Join: 0.000012
GLT breakdown Threads: 1, Total: 350.044749, Create: 0.000004, Yield: 350.044732, Join: 0.000013
GLT breakdown Threads: 1, Total: 349.579330, Create: 0.000004, Yield: 349.579315, Join: 0.000011
GLT breakdown Threads: 1, Total: 349.872816, Create: 0.000004, Yield: 349.872800, Join: 0.000012
GLT breakdown Threads: 1, Total: 349.721758, Create: 0.000004, Yield: 349.721740, Join: 0.000014
GLT breakdown Threads: 1, Total: 349.218542, Create: 0.000004, Yield: 349.218527, Join: 0.000011
GLT breakdown Threads: 1, Total: 349.387386, Create: 0.000004, Yield: 349.387372, Join: 0.000010
GLT breakdown Threads: 1, Total: 350.438319, Create: 0.000003, Yield: 350.438303, Join: 0.000013
GLT breakdown Threads: 1, Total: 350.057523, Create: 0.000003, Yield: 350.057512, Join: 0.000008
GLT breakdown Threads: 1, Total: 349.783480, Create: 0.000003, Yield: 349.783472, Join: 0.000005
GLT breakdown Threads: 1, Total: 348.998403, Create: 0.000003, Yield: 348.998393, Join: 0.000007
GLT breakdown Threads: 1, Total: 349.146352, Create: 0.000003, Yield: 349.146342, Join: 0.000007
GLT breakdown Threads: 1, Total: 355.482951, Create: 0.000003, Yield: 355.482942, Join: 0.000006
GLT breakdown Threads: 1, Total: 349.380307, Create: 0.000003, Yield: 349.380296, Join: 0.000008
GLT breakdown Threads: 1, Total: 349.614042, Create: 0.000003, Yield: 349.614033, Join: 0.000006
GLT breakdown Threads: 1, Total: 349.443673, Create: 0.000003, Yield: 349.443662, Join: 0.000007
GLT breakdown Threads: 1, Total: 349.378155, Create: 0.000003, Yield: 349.378146, Join: 0.000006
GLT breakdown Threads: 1, Total: 349.600079, Create: 0.000004, Yield: 349.600068, Join: 0.000007
GLT breakdown Threads: 1, Total: 349.291832, Create: 0.000003, Yield: 349.291823, Join: 0.000006
GLT breakdown Threads: 1, Total: 349.851666, Create: 0.000004, Yield: 349.851655, Join: 0.000007
GLT breakdown Threads: 1, Total: 349.190669, Create: 0.000003, Yield: 349.190660, Join: 0.000006
GLT breakdown Threads: 1, Total: 349.045670, Create: 0.000009, Yield: 349.045653, Join: 0.000008
GLT breakdown Threads: 1, Total: 349.591263, Create: 0.000003, Yield: 349.591254, Join: 0.000006
GLT breakdown Threads: 1, Total: 349.044792, Create: 0.000003, Yield: 349.044784, Join: 0.000005
GLT breakdown Threads: 1, Total: 349.751820, Create: 0.000003, Yield: 349.751812, Join: 0.000005
GLT breakdown Threads: 1, Total: 349.750294, Create: 0.000003, Yield: 349.750285, Join: 0.000006
GLT breakdown Threads: 1, Total: 350.159805, Create: 0.000003, Yield: 350.159794, Join: 0.000008
GLT breakdown Threads: 1, Total: 348.984989, Create: 0.000003, Yield: 348.984980, Join: 0.000006
GLT breakdown Threads: 1, Total: 349.015254, Create: 0.000002, Yield: 349.015242, Join: 0.000010
