GLT breakdown Threads: 1, Total: 24.395404, Create: 0.000004, Yield: 24.395385, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.897152, Create: 0.000003, Yield: 21.897135, Join: 0.000014
GLT breakdown Threads: 1, Total: 22.046230, Create: 0.000003, Yield: 22.046211, Join: 0.000016
GLT breakdown Threads: 1, Total: 22.026071, Create: 0.000007, Yield: 22.026047, Join: 0.000017
GLT breakdown Threads: 1, Total: 22.059069, Create: 0.000003, Yield: 22.059050, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.901882, Create: 0.000003, Yield: 21.901863, Join: 0.000016
GLT breakdown Threads: 1, Total: 22.008977, Create: 0.000003, Yield: 22.008953, Join: 0.000021
GLT breakdown Threads: 1, Total: 22.080835, Create: 0.000002, Yield: 22.080819, Join: 0.000014
GLT breakdown Threads: 1, Total: 21.927780, Create: 0.000003, Yield: 21.927762, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.254476, Create: 0.000003, Yield: 22.254457, Join: 0.000016
GLT breakdown Threads: 1, Total: 23.624633, Create: 0.000003, Yield: 23.624609, Join: 0.000021
GLT breakdown Threads: 1, Total: 23.673393, Create: 0.000003, Yield: 23.673373, Join: 0.000017
GLT breakdown Threads: 1, Total: 27.303765, Create: 0.000003, Yield: 27.303732, Join: 0.000030
GLT breakdown Threads: 1, Total: 27.606721, Create: 0.000003, Yield: 27.606691, Join: 0.000027
GLT breakdown Threads: 1, Total: 27.461510, Create: 0.000004, Yield: 27.461481, Join: 0.000025
GLT breakdown Threads: 1, Total: 27.624651, Create: 0.000002, Yield: 27.624621, Join: 0.000028
GLT breakdown Threads: 1, Total: 26.393156, Create: 0.000004, Yield: 26.393118, Join: 0.000034
GLT breakdown Threads: 1, Total: 26.686646, Create: 0.000004, Yield: 26.686626, Join: 0.000016
GLT breakdown Threads: 1, Total: 46.291200, Create: 0.000004, Yield: 46.291171, Join: 0.000025
GLT breakdown Threads: 1, Total: 23.671863, Create: 0.000003, Yield: 23.671843, Join: 0.000017
GLT breakdown Threads: 1, Total: 25.344118, Create: 0.000003, Yield: 25.344079, Join: 0.000036
GLT breakdown Threads: 1, Total: 27.977412, Create: 0.000004, Yield: 27.977380, Join: 0.000028
GLT breakdown Threads: 1, Total: 25.985505, Create: 0.000003, Yield: 25.985480, Join: 0.000022
GLT breakdown Threads: 1, Total: 26.862348, Create: 0.000003, Yield: 26.862327, Join: 0.000018
GLT breakdown Threads: 1, Total: 25.425549, Create: 0.000003, Yield: 25.425524, Join: 0.000022
GLT breakdown Threads: 1, Total: 26.414141, Create: 0.000004, Yield: 26.414103, Join: 0.000033
GLT breakdown Threads: 1, Total: 25.718573, Create: 0.000003, Yield: 25.718548, Join: 0.000022
GLT breakdown Threads: 1, Total: 28.170395, Create: 0.000003, Yield: 28.170367, Join: 0.000025
