GLT breakdown Threads: 1, Total: 27.879005, Create: 0.000004, Yield: 27.878978, Join: 0.000023
GLT breakdown Threads: 1, Total: 27.335718, Create: 0.000004, Yield: 27.335689, Join: 0.000025
GLT breakdown Threads: 1, Total: 22.022760, Create: 0.000004, Yield: 22.022741, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.934845, Create: 0.000004, Yield: 21.934826, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.995372, Create: 0.000004, Yield: 21.995350, Join: 0.000018
GLT breakdown Threads: 1, Total: 22.107397, Create: 0.000004, Yield: 22.107377, Join: 0.000016
GLT breakdown Threads: 1, Total: 22.068163, Create: 0.000004, Yield: 22.068144, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.030567, Create: 0.000005, Yield: 22.030548, Join: 0.000014
GLT breakdown Threads: 1, Total: 22.258162, Create: 0.000003, Yield: 22.258139, Join: 0.000020
GLT breakdown Threads: 1, Total: 22.041766, Create: 0.000004, Yield: 22.041747, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.051509, Create: 0.000004, Yield: 22.051487, Join: 0.000018
GLT breakdown Threads: 1, Total: 25.360708, Create: 0.000004, Yield: 25.360683, Join: 0.000021
GLT breakdown Threads: 1, Total: 32.252129, Create: 0.000003, Yield: 32.252106, Join: 0.000020
GLT breakdown Threads: 1, Total: 24.643946, Create: 0.000004, Yield: 24.643922, Join: 0.000020
GLT breakdown Threads: 1, Total: 24.118722, Create: 0.000004, Yield: 24.118702, Join: 0.000016
GLT breakdown Threads: 1, Total: 25.393214, Create: 0.000004, Yield: 25.393193, Join: 0.000017
GLT breakdown Threads: 1, Total: 22.530828, Create: 0.000003, Yield: 22.530807, Join: 0.000018
GLT breakdown Threads: 1, Total: 24.511762, Create: 0.000003, Yield: 24.511738, Join: 0.000021
GLT breakdown Threads: 1, Total: 28.148452, Create: 0.000003, Yield: 28.148417, Join: 0.000032
GLT breakdown Threads: 1, Total: 25.790897, Create: 0.000003, Yield: 25.790863, Join: 0.000031
GLT breakdown Threads: 1, Total: 23.173671, Create: 0.000004, Yield: 23.173649, Join: 0.000018
GLT breakdown Threads: 1, Total: 27.465439, Create: 0.000004, Yield: 27.465400, Join: 0.000035
GLT breakdown Threads: 1, Total: 26.713956, Create: 0.000004, Yield: 26.713917, Join: 0.000035
GLT breakdown Threads: 1, Total: 27.431508, Create: 0.000004, Yield: 27.431474, Join: 0.000030
GLT breakdown Threads: 1, Total: 26.315001, Create: 0.000004, Yield: 26.314977, Join: 0.000020
GLT breakdown Threads: 1, Total: 27.665316, Create: 0.000003, Yield: 27.665295, Join: 0.000018
GLT breakdown Threads: 1, Total: 28.077647, Create: 0.000005, Yield: 28.077604, Join: 0.000038
GLT breakdown Threads: 1, Total: 27.398102, Create: 0.000004, Yield: 27.398076, Join: 0.000022
GLT breakdown Threads: 1, Total: 28.447121, Create: 0.000003, Yield: 28.447087, Join: 0.000031
GLT breakdown Threads: 1, Total: 28.819415, Create: 0.000003, Yield: 28.819381, Join: 0.000031
GLT breakdown Threads: 1, Total: 24.341115, Create: 0.000004, Yield: 24.341086, Join: 0.000025
GLT breakdown Threads: 1, Total: 27.757363, Create: 0.000004, Yield: 27.757334, Join: 0.000025
GLT breakdown Threads: 1, Total: 26.085017, Create: 0.000004, Yield: 26.084986, Join: 0.000027
GLT breakdown Threads: 1, Total: 27.021277, Create: 0.000004, Yield: 27.021241, Join: 0.000032
GLT breakdown Threads: 1, Total: 24.118816, Create: 0.000003, Yield: 24.118782, Join: 0.000031
GLT breakdown Threads: 1, Total: 24.212300, Create: 0.000004, Yield: 24.212260, Join: 0.000036
GLT breakdown Threads: 1, Total: 28.937468, Create: 0.000004, Yield: 28.937432, Join: 0.000032
GLT breakdown Threads: 1, Total: 26.083365, Create: 0.000004, Yield: 26.083336, Join: 0.000025
GLT breakdown Threads: 1, Total: 24.807212, Create: 0.000004, Yield: 24.807177, Join: 0.000031
