GLT breakdown Threads: 1, Total: 26.187237, Create: 26.187208, Yield: 0.000026, Join: 0.000003
GLT breakdown Threads: 1, Total: 27.556975, Create: 27.556952, Yield: 0.000021, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.196506, Create: 22.196491, Yield: 0.000014, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.888866, Create: 21.888850, Yield: 0.000014, Join: 0.000002
GLT breakdown Threads: 1, Total: 21.950693, Create: 21.950677, Yield: 0.000014, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.051232, Create: 22.051216, Yield: 0.000015, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.885789, Create: 21.885771, Yield: 0.000017, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.892203, Create: 21.892187, Yield: 0.000015, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.893637, Create: 21.893613, Yield: 0.000022, Join: 0.000002
GLT breakdown Threads: 1, Total: 21.983028, Create: 21.983012, Yield: 0.000014, Join: 0.000002
GLT breakdown Threads: 1, Total: 21.894173, Create: 21.894158, Yield: 0.000013, Join: 0.000002
GLT breakdown Threads: 1, Total: 25.260336, Create: 25.260315, Yield: 0.000019, Join: 0.000002
GLT breakdown Threads: 1, Total: 27.774365, Create: 27.774340, Yield: 0.000022, Join: 0.000003
GLT breakdown Threads: 1, Total: 24.416786, Create: 24.416770, Yield: 0.000014, Join: 0.000002
GLT breakdown Threads: 1, Total: 25.037048, Create: 25.037020, Yield: 0.000026, Join: 0.000002
GLT breakdown Threads: 1, Total: 27.072903, Create: 27.072877, Yield: 0.000023, Join: 0.000003
GLT breakdown Threads: 1, Total: 23.210343, Create: 23.210315, Yield: 0.000025, Join: 0.000003
GLT breakdown Threads: 1, Total: 25.802441, Create: 25.802412, Yield: 0.000026, Join: 0.000003
GLT breakdown Threads: 1, Total: 28.363642, Create: 28.363610, Yield: 0.000030, Join: 0.000002
GLT breakdown Threads: 1, Total: 27.677135, Create: 27.677103, Yield: 0.000030, Join: 0.000002
GLT breakdown Threads: 1, Total: 24.742888, Create: 24.742867, Yield: 0.000019, Join: 0.000002
GLT breakdown Threads: 1, Total: 23.536322, Create: 23.536301, Yield: 0.000019, Join: 0.000002
GLT breakdown Threads: 1, Total: 26.196401, Create: 26.196368, Yield: 0.000030, Join: 0.000003
GLT breakdown Threads: 1, Total: 28.078299, Create: 28.078261, Yield: 0.000035, Join: 0.000003
GLT breakdown Threads: 1, Total: 25.958555, Create: 25.958531, Yield: 0.000021, Join: 0.000003
GLT breakdown Threads: 1, Total: 27.406876, Create: 27.406859, Yield: 0.000015, Join: 0.000002
GLT breakdown Threads: 1, Total: 26.409275, Create: 26.409250, Yield: 0.000023, Join: 0.000002
GLT breakdown Threads: 1, Total: 27.252013, Create: 27.251986, Yield: 0.000024, Join: 0.000003
GLT breakdown Threads: 1, Total: 26.379671, Create: 26.379647, Yield: 0.000021, Join: 0.000003
GLT breakdown Threads: 1, Total: 26.709303, Create: 26.709275, Yield: 0.000025, Join: 0.000003
GLT breakdown Threads: 1, Total: 25.485231, Create: 25.485208, Yield: 0.000021, Join: 0.000002
GLT breakdown Threads: 1, Total: 28.611601, Create: 28.611572, Yield: 0.000026, Join: 0.000003
GLT breakdown Threads: 1, Total: 26.002727, Create: 26.002698, Yield: 0.000026, Join: 0.000003
GLT breakdown Threads: 1, Total: 24.785125, Create: 24.785092, Yield: 0.000031, Join: 0.000002
GLT breakdown Threads: 1, Total: 24.220555, Create: 24.220524, Yield: 0.000029, Join: 0.000002
GLT breakdown Threads: 1, Total: 23.586265, Create: 23.586234, Yield: 0.000028, Join: 0.000003
GLT breakdown Threads: 1, Total: 29.317746, Create: 29.317707, Yield: 0.000036, Join: 0.000003
GLT breakdown Threads: 1, Total: 23.326288, Create: 23.326252, Yield: 0.000033, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.733673, Create: 22.733648, Yield: 0.000023, Join: 0.000002
GLT breakdown Threads: 1, Total: 23.562971, Create: 23.562950, Yield: 0.000019, Join: 0.000002
GLT breakdown Threads: 1, Total: 24.599414, Create: 24.599383, Yield: 0.000028, Join: 0.000003
GLT breakdown Threads: 1, Total: 28.426277, Create: 28.426248, Yield: 0.000026, Join: 0.000003
GLT breakdown Threads: 1, Total: 28.166489, Create: 28.166453, Yield: 0.000033, Join: 0.000003
GLT breakdown Threads: 1, Total: 26.594928, Create: 26.594894, Yield: 0.000031, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.913023, Create: 21.913003, Yield: 0.000019, Join: 0.000001
