GLT breakdown Threads: 1, Total: 347.846520, Create: 347.846513, Yield: 0.000006, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.848628, Create: 347.848623, Yield: 0.000004, Join: 0.000001
GLT breakdown Threads: 1, Total: 348.032583, Create: 348.032575, Yield: 0.000007, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.832043, Create: 347.832036, Yield: 0.000006, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.653630, Create: 347.653625, Yield: 0.000004, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.909555, Create: 347.909549, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.698224, Create: 347.698218, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.732176, Create: 347.732171, Yield: 0.000005, Join: 0.000000
GLT breakdown Threads: 1, Total: 347.867198, Create: 347.867192, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 348.155108, Create: 348.155102, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.823546, Create: 347.823540, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.934031, Create: 347.934026, Yield: 0.000004, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.693657, Create: 347.693651, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 349.445373, Create: 349.445367, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 348.160403, Create: 348.160398, Yield: 0.000004, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.874782, Create: 347.874777, Yield: 0.000004, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.950508, Create: 347.950502, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.738883, Create: 347.738877, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.844939, Create: 347.844930, Yield: 0.000008, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.858954, Create: 347.858948, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 348.092158, Create: 348.092149, Yield: 0.000008, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.618980, Create: 347.618974, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.680883, Create: 347.680877, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.682761, Create: 347.682755, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 348.062293, Create: 348.062287, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.661434, Create: 347.661427, Yield: 0.000006, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.883125, Create: 347.883119, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.817972, Create: 347.817966, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.777141, Create: 347.777135, Yield: 0.000005, Join: 0.000000
GLT breakdown Threads: 1, Total: 347.996343, Create: 347.996337, Yield: 0.000006, Join: 0.000000
GLT breakdown Threads: 1, Total: 347.622994, Create: 347.622988, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.762488, Create: 347.762481, Yield: 0.000006, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.769000, Create: 347.768994, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.822397, Create: 347.822391, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 348.180799, Create: 348.180790, Yield: 0.000008, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.998114, Create: 347.998107, Yield: 0.000006, Join: 0.000000
GLT breakdown Threads: 1, Total: 348.262238, Create: 348.262232, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.847258, Create: 347.847250, Yield: 0.000006, Join: 0.000002
GLT breakdown Threads: 1, Total: 347.866977, Create: 347.866970, Yield: 0.000007, Join: 0.000000
GLT breakdown Threads: 1, Total: 347.945213, Create: 347.945205, Yield: 0.000007, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.798791, Create: 347.798784, Yield: 0.000006, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.582376, Create: 347.582369, Yield: 0.000006, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.979014, Create: 347.979008, Yield: 0.000005, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.729438, Create: 347.729431, Yield: 0.000006, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.868689, Create: 347.868681, Yield: 0.000007, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.618313, Create: 347.618306, Yield: 0.000006, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.968632, Create: 347.968625, Yield: 0.000006, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.866093, Create: 347.866085, Yield: 0.000007, Join: 0.000001
GLT breakdown Threads: 1, Total: 347.676622, Create: 347.676616, Yield: 0.000006, Join: 0.000000
GLT breakdown Threads: 1, Total: 347.853368, Create: 347.853362, Yield: 0.000005, Join: 0.000001
