GLT breakdown Threads: 1, Total: 26.764913, Create: 0.000005, Yield: 26.764904, Join: 0.000004
GLT breakdown Threads: 1, Total: 26.347570, Create: 0.000006, Yield: 26.347562, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.250312, Create: 0.000009, Yield: 22.250300, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.481436, Create: 0.000006, Yield: 22.481427, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.249718, Create: 0.000005, Yield: 22.249708, Join: 0.000005
GLT breakdown Threads: 1, Total: 22.234608, Create: 0.000006, Yield: 22.234600, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.349827, Create: 0.000006, Yield: 22.349819, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.199713, Create: 0.000009, Yield: 22.199700, Join: 0.000004
GLT breakdown Threads: 1, Total: 22.458304, Create: 0.000006, Yield: 22.458295, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.230310, Create: 0.000006, Yield: 22.230302, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.079541, Create: 0.000005, Yield: 22.079533, Join: 0.000003
GLT breakdown Threads: 1, Total: 25.654553, Create: 0.000006, Yield: 25.654543, Join: 0.000004
GLT breakdown Threads: 1, Total: 28.656654, Create: 0.000006, Yield: 28.656644, Join: 0.000004
GLT breakdown Threads: 1, Total: 25.426869, Create: 0.000006, Yield: 25.426857, Join: 0.000006
GLT breakdown Threads: 1, Total: 26.212424, Create: 0.000005, Yield: 26.212416, Join: 0.000003
GLT breakdown Threads: 1, Total: 26.486091, Create: 0.000006, Yield: 26.486080, Join: 0.000005
GLT breakdown Threads: 1, Total: 22.941343, Create: 0.000006, Yield: 22.941334, Join: 0.000002
GLT breakdown Threads: 1, Total: 26.641218, Create: 0.000006, Yield: 26.641210, Join: 0.000002
GLT breakdown Threads: 1, Total: 27.364871, Create: 0.000005, Yield: 27.364862, Join: 0.000004
GLT breakdown Threads: 1, Total: 28.638950, Create: 0.000006, Yield: 28.638939, Join: 0.000005
GLT breakdown Threads: 1, Total: 24.388704, Create: 0.000006, Yield: 24.388694, Join: 0.000004
GLT breakdown Threads: 1, Total: 25.520552, Create: 0.000005, Yield: 25.520540, Join: 0.000007
GLT breakdown Threads: 1, Total: 27.137928, Create: 0.000006, Yield: 27.137918, Join: 0.000004
GLT breakdown Threads: 1, Total: 27.836628, Create: 0.000006, Yield: 27.836615, Join: 0.000007
GLT breakdown Threads: 1, Total: 26.283716, Create: 0.000006, Yield: 26.283706, Join: 0.000004
GLT breakdown Threads: 1, Total: 25.685260, Create: 0.000005, Yield: 25.685251, Join: 0.000004
GLT breakdown Threads: 1, Total: 26.649357, Create: 0.000006, Yield: 26.649347, Join: 0.000004
GLT breakdown Threads: 1, Total: 28.482159, Create: 0.000006, Yield: 28.482145, Join: 0.000008
GLT breakdown Threads: 1, Total: 27.750588, Create: 0.000006, Yield: 27.750575, Join: 0.000007
GLT breakdown Threads: 1, Total: 27.373305, Create: 0.000006, Yield: 27.373295, Join: 0.000004
GLT breakdown Threads: 1, Total: 22.172570, Create: 0.000006, Yield: 22.172562, Join: 0.000002
GLT breakdown Threads: 1, Total: 27.642664, Create: 0.000006, Yield: 27.642655, Join: 0.000003
GLT breakdown Threads: 1, Total: 27.122658, Create: 0.000006, Yield: 27.122647, Join: 0.000005
GLT breakdown Threads: 1, Total: 25.282334, Create: 0.000006, Yield: 25.282325, Join: 0.000003
GLT breakdown Threads: 1, Total: 24.514700, Create: 0.000007, Yield: 24.514688, Join: 0.000005
GLT breakdown Threads: 1, Total: 24.599597, Create: 0.000005, Yield: 24.599585, Join: 0.000007
GLT breakdown Threads: 1, Total: 28.555742, Create: 0.000006, Yield: 28.555731, Join: 0.000005
GLT breakdown Threads: 1, Total: 27.230883, Create: 0.000006, Yield: 27.230873, Join: 0.000004
GLT breakdown Threads: 1, Total: 23.247170, Create: 0.000008, Yield: 23.247160, Join: 0.000002
