GLT breakdown Threads: 1, Total: 22.001132, Create: 0.000004, Yield: 22.001125, Join: 0.000003
GLT breakdown Threads: 1, Total: 27.933374, Create: 0.000015, Yield: 27.933354, Join: 0.000005
GLT breakdown Threads: 1, Total: 21.982135, Create: 0.000006, Yield: 21.982128, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.959484, Create: 0.000004, Yield: 21.959479, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.959086, Create: 0.000004, Yield: 21.959081, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.271711, Create: 0.000006, Yield: 22.271704, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.085539, Create: 0.000004, Yield: 22.085534, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.976812, Create: 0.000005, Yield: 21.976806, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.714846, Create: 0.000004, Yield: 22.714840, Join: 0.000002
GLT breakdown Threads: 1, Total: 21.952152, Create: 0.000006, Yield: 21.952145, Join: 0.000001
GLT breakdown Threads: 1, Total: 24.406569, Create: 0.000004, Yield: 24.406561, Join: 0.000004
GLT breakdown Threads: 1, Total: 26.051583, Create: 0.000004, Yield: 26.051578, Join: 0.000001
GLT breakdown Threads: 1, Total: 28.713099, Create: 0.000004, Yield: 28.713090, Join: 0.000005
GLT breakdown Threads: 1, Total: 27.435448, Create: 0.000005, Yield: 27.435441, Join: 0.000002
GLT breakdown Threads: 1, Total: 26.988098, Create: 0.000005, Yield: 26.988091, Join: 0.000002
GLT breakdown Threads: 1, Total: 27.968919, Create: 0.000013, Yield: 27.968904, Join: 0.000002
GLT breakdown Threads: 1, Total: 22.791705, Create: 0.000004, Yield: 22.791700, Join: 0.000001
GLT breakdown Threads: 1, Total: 24.660200, Create: 0.000004, Yield: 24.660194, Join: 0.000002
GLT breakdown Threads: 1, Total: 28.788777, Create: 0.000004, Yield: 28.788771, Join: 0.000002
GLT breakdown Threads: 1, Total: 24.611762, Create: 0.000004, Yield: 24.611757, Join: 0.000001
GLT breakdown Threads: 1, Total: 25.634651, Create: 0.000004, Yield: 25.634645, Join: 0.000002
GLT breakdown Threads: 1, Total: 26.818573, Create: 0.000004, Yield: 26.818566, Join: 0.000003
GLT breakdown Threads: 1, Total: 23.383496, Create: 0.000004, Yield: 23.383490, Join: 0.000002
GLT breakdown Threads: 1, Total: 28.576077, Create: 0.000005, Yield: 28.576070, Join: 0.000002
GLT breakdown Threads: 1, Total: 25.799841, Create: 0.000004, Yield: 25.799836, Join: 0.000001
GLT breakdown Threads: 1, Total: 25.162577, Create: 0.000004, Yield: 25.162572, Join: 0.000001
GLT breakdown Threads: 1, Total: 28.335814, Create: 0.000004, Yield: 28.335809, Join: 0.000001
GLT breakdown Threads: 1, Total: 28.815497, Create: 0.000004, Yield: 28.815492, Join: 0.000001
GLT breakdown Threads: 1, Total: 25.822149, Create: 0.000004, Yield: 25.822144, Join: 0.000001
GLT breakdown Threads: 1, Total: 27.293380, Create: 0.000004, Yield: 27.293374, Join: 0.000002
GLT breakdown Threads: 1, Total: 23.365440, Create: 0.000004, Yield: 23.365434, Join: 0.000002
GLT breakdown Threads: 1, Total: 26.501247, Create: 0.000004, Yield: 26.501242, Join: 0.000001
GLT breakdown Threads: 1, Total: 24.267721, Create: 0.000004, Yield: 24.267716, Join: 0.000001
GLT breakdown Threads: 1, Total: 26.144712, Create: 0.000004, Yield: 26.144703, Join: 0.000005
GLT breakdown Threads: 1, Total: 24.139274, Create: 0.000004, Yield: 24.139268, Join: 0.000002
GLT breakdown Threads: 1, Total: 26.092514, Create: 0.000004, Yield: 26.092504, Join: 0.000006
GLT breakdown Threads: 1, Total: 28.173715, Create: 0.000004, Yield: 28.173705, Join: 0.000006
GLT breakdown Threads: 1, Total: 24.953918, Create: 0.000004, Yield: 24.953913, Join: 0.000000
GLT breakdown Threads: 1, Total: 23.282945, Create: 0.000004, Yield: 23.282940, Join: 0.000001
GLT breakdown Threads: 1, Total: 26.719440, Create: 0.000004, Yield: 26.719434, Join: 0.000002
GLT breakdown Threads: 1, Total: 27.731567, Create: 0.000004, Yield: 27.731562, Join: 0.000001
GLT breakdown Threads: 1, Total: 24.494038, Create: 0.000005, Yield: 24.494031, Join: 0.000002
GLT breakdown Threads: 1, Total: 26.259571, Create: 0.000004, Yield: 26.259566, Join: 0.000001
GLT breakdown Threads: 1, Total: 25.209833, Create: 0.000004, Yield: 25.209826, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.030729, Create: 0.000005, Yield: 22.030723, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.965015, Create: 0.000004, Yield: 21.965008, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.041452, Create: 0.000004, Yield: 22.041444, Join: 0.000004
GLT breakdown Threads: 1, Total: 21.955275, Create: 0.000004, Yield: 21.955270, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.994063, Create: 0.000004, Yield: 21.994056, Join: 0.000003
GLT breakdown Threads: 1, Total: 21.970648, Create: 0.000006, Yield: 21.970641, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.000903, Create: 0.000004, Yield: 22.000898, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.007802, Create: 0.000005, Yield: 22.007796, Join: 0.000000
GLT breakdown Threads: 1, Total: 21.995942, Create: 0.000005, Yield: 21.995936, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.955752, Create: 0.000006, Yield: 21.955745, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.156915, Create: 0.000005, Yield: 22.156908, Join: 0.000002
GLT breakdown Threads: 1, Total: 21.979679, Create: 0.000006, Yield: 21.979670, Join: 0.000003
GLT breakdown Threads: 1, Total: 22.126400, Create: 0.000004, Yield: 22.126395, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.057673, Create: 0.000004, Yield: 22.057668, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.010017, Create: 0.000004, Yield: 22.010012, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.957591, Create: 0.000004, Yield: 21.957586, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.034809, Create: 0.000005, Yield: 22.034803, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.053036, Create: 0.000005, Yield: 22.053030, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.130037, Create: 0.000006, Yield: 22.130030, Join: 0.000001
GLT breakdown Threads: 1, Total: 22.046504, Create: 0.000007, Yield: 22.046496, Join: 0.000001
GLT breakdown Threads: 1, Total: 21.989729, Create: 0.000004, Yield: 21.989724, Join: 0.000001
