ARGOBOTS breakdown Threads: 1, Total: 23.367786, Create: 0.000002, Yield: 23.367760, Join: 0.000024
ARGOBOTS breakdown Threads: 1, Total: 21.846809, Create: 0.000003, Yield: 21.846787, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.850105, Create: 0.000002, Yield: 21.850087, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.860040, Create: 0.000003, Yield: 21.860021, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.936571, Create: 0.000002, Yield: 21.936552, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 21.850059, Create: 0.000002, Yield: 21.850041, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 22.083029, Create: 0.000005, Yield: 22.083008, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.856830, Create: 0.000001, Yield: 21.856815, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.848367, Create: 0.000002, Yield: 21.848350, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.878593, Create: 0.000002, Yield: 21.878576, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 27.954548, Create: 0.000003, Yield: 27.954524, Join: 0.000020
ARGOBOTS breakdown Threads: 1, Total: 27.761445, Create: 0.000003, Yield: 27.761423, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 22.884887, Create: 0.000002, Yield: 22.884866, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 24.471795, Create: 0.000003, Yield: 24.471776, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 27.835127, Create: 0.000001, Yield: 27.835088, Join: 0.000038
ARGOBOTS breakdown Threads: 1, Total: 25.322868, Create: 0.000002, Yield: 25.322850, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 26.265511, Create: 0.000002, Yield: 26.265489, Join: 0.000020
ARGOBOTS breakdown Threads: 1, Total: 25.364122, Create: 0.000002, Yield: 25.364104, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 25.263538, Create: 0.000003, Yield: 25.263517, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 25.412597, Create: 0.000002, Yield: 25.412573, Join: 0.000022
ARGOBOTS breakdown Threads: 1, Total: 26.764727, Create: 0.000003, Yield: 26.764695, Join: 0.000029
ARGOBOTS breakdown Threads: 1, Total: 25.453291, Create: 0.000003, Yield: 25.453271, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 28.507060, Create: 0.000003, Yield: 28.507032, Join: 0.000025
ARGOBOTS breakdown Threads: 1, Total: 25.727408, Create: 0.000002, Yield: 25.727387, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 26.684756, Create: 0.000003, Yield: 26.684729, Join: 0.000024
ARGOBOTS breakdown Threads: 1, Total: 26.402583, Create: 0.000003, Yield: 26.402557, Join: 0.000023
ARGOBOTS breakdown Threads: 1, Total: 25.365531, Create: 0.000002, Yield: 25.365512, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 22.793426, Create: 0.000003, Yield: 22.793407, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 26.649981, Create: 0.000003, Yield: 26.649951, Join: 0.000027
ARGOBOTS breakdown Threads: 1, Total: 28.374191, Create: 0.000003, Yield: 28.374161, Join: 0.000027
ARGOBOTS breakdown Threads: 1, Total: 24.022238, Create: 0.000002, Yield: 24.022217, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 25.065086, Create: 0.000003, Yield: 25.065052, Join: 0.000031
ARGOBOTS breakdown Threads: 1, Total: 25.453143, Create: 0.000002, Yield: 25.453119, Join: 0.000022
ARGOBOTS breakdown Threads: 1, Total: 40.288780, Create: 0.000001, Yield: 40.288745, Join: 0.000034
ARGOBOTS breakdown Threads: 1, Total: 23.207193, Create: 0.000003, Yield: 23.207166, Join: 0.000024
ARGOBOTS breakdown Threads: 1, Total: 28.119519, Create: 0.000002, Yield: 28.119490, Join: 0.000027
