ARGOBOTS breakdown Threads: 1, Total: 24.554963, Create: 0.000001, Yield: 24.554941, Join: 0.000021
ARGOBOTS breakdown Threads: 1, Total: 21.849418, Create: 0.000001, Yield: 21.849406, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.861704, Create: 0.000001, Yield: 21.861692, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.885429, Create: 0.000001, Yield: 21.885410, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 21.849815, Create: 0.000001, Yield: 21.849802, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.906658, Create: 0.000001, Yield: 21.906645, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.863991, Create: 0.000001, Yield: 21.863978, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.905505, Create: 0.000001, Yield: 21.905492, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.982860, Create: 0.000001, Yield: 21.982847, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.987021, Create: 0.000001, Yield: 21.987008, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 25.519565, Create: 0.000001, Yield: 25.519551, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 27.528119, Create: 0.000000, Yield: 27.528084, Join: 0.000035
ARGOBOTS breakdown Threads: 1, Total: 24.594948, Create: 0.000001, Yield: 24.594930, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 23.584714, Create: 0.000001, Yield: 23.584699, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 27.787929, Create: 0.000000, Yield: 27.787903, Join: 0.000026
ARGOBOTS breakdown Threads: 1, Total: 24.948537, Create: 0.000000, Yield: 24.948520, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 25.659211, Create: 0.000000, Yield: 25.659189, Join: 0.000022
ARGOBOTS breakdown Threads: 1, Total: 23.715465, Create: 0.000001, Yield: 23.715450, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 25.993283, Create: 0.000001, Yield: 25.993260, Join: 0.000022
ARGOBOTS breakdown Threads: 1, Total: 22.575771, Create: 0.000001, Yield: 22.575757, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 24.104339, Create: 0.000001, Yield: 24.104323, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 27.962193, Create: 0.000001, Yield: 27.962166, Join: 0.000026
ARGOBOTS breakdown Threads: 1, Total: 26.971149, Create: 0.000001, Yield: 26.971129, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 26.124567, Create: 0.000001, Yield: 26.124534, Join: 0.000032
