QTHREAD breakdown Threads: 1, Total: 27.821434, Create: 0.000004, Yield: 27.821429, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.260950, Create: 0.000003, Yield: 22.260947, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.254486, Create: 0.000004, Yield: 22.254478, Join: 0.000004
QTHREAD breakdown Threads: 1, Total: 22.158271, Create: 0.000010, Yield: 22.158258, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.158278, Create: 0.000004, Yield: 22.158273, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.154376, Create: 0.000003, Yield: 22.154372, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.166438, Create: 0.000004, Yield: 22.166431, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.180830, Create: 0.000005, Yield: 22.180824, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.159749, Create: 0.000004, Yield: 22.159744, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.178082, Create: 0.000004, Yield: 22.178078, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 25.713456, Create: 0.000004, Yield: 25.713450, Join: 0.000002
QTHREAD breakdown Threads: 1, Total: 26.469930, Create: 0.000004, Yield: 26.469922, Join: 0.000004
QTHREAD breakdown Threads: 1, Total: 24.637016, Create: 0.000003, Yield: 24.637009, Join: 0.000004
QTHREAD breakdown Threads: 1, Total: 24.302198, Create: 0.000004, Yield: 24.302193, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 28.208803, Create: 0.000005, Yield: 28.208797, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 25.722661, Create: 0.000004, Yield: 25.722655, Join: 0.000002
QTHREAD breakdown Threads: 1, Total: 25.690324, Create: 0.000004, Yield: 25.690319, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 28.021437, Create: 0.000004, Yield: 28.021428, Join: 0.000005
QTHREAD breakdown Threads: 1, Total: 27.139377, Create: 0.000004, Yield: 27.139372, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 23.479140, Create: 0.000004, Yield: 23.479135, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 25.400891, Create: 0.000004, Yield: 25.400885, Join: 0.000002
QTHREAD breakdown Threads: 1, Total: 27.021363, Create: 0.000004, Yield: 27.021358, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 26.659637, Create: 0.000004, Yield: 26.659632, Join: 0.000001
