1 100 0.000011 [0.000010 - 0.000021] 0.000002 Join(0.000005)
2 100 0.000014 [0.000013 - 0.000031] 0.000003 Join(0.000007)
3 100 0.000015 [0.000013 - 0.000031] 0.000003 Join(0.000007)
4 100 0.000016 [0.000014 - 0.000028] 0.000003 Join(0.000007)
5 100 0.000016 [0.000014 - 0.000032] 0.000003 Join(0.000008)
6 100 0.000017 [0.000015 - 0.000033] 0.000003 Join(0.000008)
7 100 0.000018 [0.000016 - 0.000031] 0.000003 Join(0.000008)
8 100 0.000018 [0.000017 - 0.000034] 0.000003 Join(0.000008)
9 100 0.000019 [0.000017 - 0.000037] 0.000004 Join(0.000009)
10 100 0.000020 [0.000018 - 0.000038] 0.000004 Join(0.000008)
11 100 0.000019 [0.000017 - 0.000038] 0.000004 Join(0.000009)
12 100 0.000021 [0.000018 - 0.000042] 0.000004 Join(0.000009)
13 100 0.000021 [0.000019 - 0.000043] 0.000004 Join(0.000009)
14 100 0.000020 [0.000018 - 0.000041] 0.000004 Join(0.000008)
15 100 0.000020 [0.000018 - 0.000043] 0.000004 Join(0.000008)
16 100 0.000019 [0.000017 - 0.000043] 0.000004 Join(0.000008)
17 100 0.000021 [0.000019 - 0.000046] 0.000005 Join(0.000008)
18 100 0.000020 [0.000018 - 0.000046] 0.000005 Join(0.000008)
19 100 0.000020 [0.000018 - 0.000044] 0.000004 Join(0.000008)
20 100 0.000021 [0.000018 - 0.000064] 0.000007 Join(0.000009)
21 100 0.000021 [0.000019 - 0.000050] 0.000006 Join(0.000009)
22 100 0.000021 [0.000019 - 0.000048] 0.000004 Join(0.000008)
23 100 0.000022 [0.000019 - 0.000050] 0.000005 Join(0.000009)
24 100 0.000021 [0.000019 - 0.000058] 0.000006 Join(0.000009)
25 100 0.000023 [0.000020 - 0.000052] 0.000006 Join(0.000009)
26 100 0.000025 [0.000020 - 0.000079] 0.000009 Join(0.000010)
27 100 0.000024 [0.000020 - 0.000063] 0.000007 Join(0.000010)
28 100 0.000023 [0.000021 - 0.000065] 0.000007 Join(0.000009)
29 100 0.000023 [0.000021 - 0.000060] 0.000006 Join(0.000009)
30 100 0.000024 [0.000022 - 0.000064] 0.000006 Join(0.000009)
31 100 0.000024 [0.000022 - 0.000070] 0.000008 Join(0.000010)
32 100 0.000025 [0.000022 - 0.000070] 0.000008 Join(0.000010)
33 100 0.000025 [0.000023 - 0.000074] 0.000007 Join(0.000010)
34 100 0.000026 [0.000023 - 0.000073] 0.000008 Join(0.000010)
35 100 0.000027 [0.000024 - 0.000070] 0.000008 Join(0.000010)
36 100 0.000027 [0.000024 - 0.000076] 0.000010 Join(0.000010)
