1 100 0.000035 [0.000025 - 0.000150] 0.000026 Join(0.000013)
2 100 0.000035 [0.000028 - 0.000142] 0.000019 Join(0.000015)
3 100 0.000037 [0.000029 - 0.000141] 0.000018 Join(0.000015)
4 100 0.000036 [0.000029 - 0.000143] 0.000018 Join(0.000016)
5 100 0.000037 [0.000030 - 0.000143] 0.000017 Join(0.000016)
6 100 0.000037 [0.000031 - 0.000149] 0.000018 Join(0.000016)
7 100 0.000037 [0.000032 - 0.000146] 0.000017 Join(0.000016)
8 100 0.000038 [0.000032 - 0.000148] 0.000017 Join(0.000016)
9 100 0.000038 [0.000033 - 0.000159] 0.000018 Join(0.000016)
10 100 0.000039 [0.000032 - 0.000171] 0.000020 Join(0.000016)
11 100 0.000038 [0.000032 - 0.000154] 0.000017 Join(0.000016)
12 100 0.000039 [0.000034 - 0.000169] 0.000019 Join(0.000017)
13 100 0.000040 [0.000035 - 0.000169] 0.000019 Join(0.000017)
14 100 0.000041 [0.000035 - 0.000170] 0.000019 Join(0.000017)
15 100 0.000041 [0.000036 - 0.000169] 0.000019 Join(0.000017)
16 100 0.000043 [0.000037 - 0.000170] 0.000019 Join(0.000018)
17 100 0.000043 [0.000037 - 0.000179] 0.000021 Join(0.000018)
18 100 0.000041 [0.000035 - 0.000188] 0.000022 Join(0.000017)
19 100 0.000040 [0.000034 - 0.000179] 0.000021 Join(0.000017)
20 100 0.000040 [0.000032 - 0.000157] 0.000019 Join(0.000017)
21 100 0.000039 [0.000032 - 0.000182] 0.000021 Join(0.000016)
22 100 0.000039 [0.000032 - 0.000159] 0.000019 Join(0.000016)
23 100 0.000040 [0.000033 - 0.000153] 0.000018 Join(0.000017)
24 100 0.000045 [0.000039 - 0.000177] 0.000020 Join(0.000021)
25 100 0.000042 [0.000036 - 0.000164] 0.000018 Join(0.000018)
26 100 0.000040 [0.000034 - 0.000160] 0.000018 Join(0.000017)
27 100 0.000040 [0.000034 - 0.000164] 0.000019 Join(0.000017)
28 100 0.000045 [0.000036 - 0.000170] 0.000020 Join(0.000019)
29 100 0.000041 [0.000035 - 0.000164] 0.000018 Join(0.000017)
30 100 0.000042 [0.000036 - 0.000168] 0.000019 Join(0.000017)
31 100 0.000044 [0.000036 - 0.000173] 0.000020 Join(0.000018)
32 100 0.000045 [0.000035 - 0.000177] 0.000022 Join(0.000018)
33 100 0.000043 [0.000034 - 0.000158] 0.000020 Join(0.000017)
34 100 0.000040 [0.000034 - 0.000162] 0.000019 Join(0.000016)
35 100 0.000042 [0.000033 - 0.000171] 0.000020 Join(0.000017)
36 100 0.000044 [0.000036 - 0.000213] 0.000026 Join(0.000017)
37 100 0.000043 [0.000035 - 0.000189] 0.000022 Join(0.000017)
38 100 0.000045 [0.000036 - 0.000171] 0.000021 Join(0.000018)
39 100 0.000046 [0.000035 - 0.000187] 0.000024 Join(0.000017)
40 100 0.000045 [0.000036 - 0.000176] 0.000022 Join(0.000017)
41 100 0.000047 [0.000038 - 0.000180] 0.000022 Join(0.000019)
42 100 0.000044 [0.000036 - 0.000196] 0.000023 Join(0.000017)
43 100 0.000052 [0.000041 - 0.000192] 0.000023 Join(0.000020)
44 100 0.000051 [0.000040 - 0.000207] 0.000025 Join(0.000020)
45 100 0.000051 [0.000040 - 0.000188] 0.000024 Join(0.000019)
46 100 0.000052 [0.000039 - 0.000212] 0.000026 Join(0.000020)
47 100 0.000049 [0.000038 - 0.000188] 0.000025 Join(0.000019)
48 100 0.000052 [0.000043 - 0.000219] 0.000027 Join(0.000019)
49 100 0.000056 [0.000043 - 0.000218] 0.000029 Join(0.000022)
50 100 0.000054 [0.000043 - 0.000286] 0.000037 Join(0.000020)
51 100 0.000049 [0.000042 - 0.000204] 0.000024 Join(0.000019)
52 100 0.000053 [0.000044 - 0.000232] 0.000028 Join(0.000020)
53 100 0.000059 [0.000049 - 0.000257] 0.000031 Join(0.000023)
54 100 0.000067 [0.000046 - 0.000571] 0.000079 Join(0.000029)
55 100 0.000150 [0.000049 - 0.001377] 0.000307 Join(0.000030)
56 100 0.000057 [0.000047 - 0.000218] 0.000026 Join(0.000022)
57 100 0.000053 [0.000044 - 0.000205] 0.000024 Join(0.000021)
58 100 0.000055 [0.000044 - 0.000200] 0.000025 Join(0.000021)
59 100 0.000054 [0.000046 - 0.000238] 0.000029 Join(0.000021)
60 100 0.000052 [0.000041 - 0.000200] 0.000026 Join(0.000020)
61 100 0.000665 [0.000042 - 0.010349] 0.001868 Join(0.000104)
62 100 0.000057 [0.000045 - 0.000296] 0.000037 Join(0.000021)
63 100 0.001305 [0.000046 - 0.011617] 0.002431 Join(0.000069)
64 100 0.000085 [0.000052 - 0.001137] 0.000155 Join(0.000045)
65 100 0.001487 [0.000051 - 0.006386] 0.002195 Join(0.000088)
66 100 0.000063 [0.000051 - 0.000244] 0.000034 Join(0.000024)
67 100 0.001331 [0.000052 - 0.007379] 0.002570 Join(0.000058)
68 100 0.001232 [0.000049 - 0.018841] 0.003224 Join(0.000059)
69 100 0.000716 [0.000049 - 0.010262] 0.002030 Join(0.000056)
70 100 0.000059 [0.000047 - 0.000227] 0.000027 Join(0.000023)
71 100 0.000058 [0.000049 - 0.000218] 0.000025 Join(0.000023)
72 100 0.000967 [0.000049 - 0.016984] 0.002892 Join(0.000053)
