argo_task_pool_1000.dat	argo_task_pool_5000000.dat	argo_task_sp_1000.dat	argo_task_sp_5000000.dat	argo_ult_pool_1000.dat	argo_ult_pool_5000000.dat	argo_ult_sp_1000.dat	argo_ult_sp_5000000.dat	totaldata.dat
0.000003	0.013478	0.000003	0.013476	0.000003	0.013479	0.000003	0.013494	
0.000505	0.006884	0.000004	0.006887	0.000256	0.006891	0.000003	0.007186	
0.000342	0.005066	0.000003	0.004874	0.000436	0.005073	0.000004	0.004868	
0.000305	0.003992	0.000003	0.003766	0.000312	0.003848	0.000004	0.003754	
0.000249	0.003322	0.000003	0.003123	0.000257	0.003116	0.000004	0.003146	
0.000447	0.002703	0.000004	0.002677	0.000457	0.002688	0.000004	0.002681	
0.000444	0.002635	0.000004	0.002375	0.000434	0.002587	0.000004	0.002376	
0.000321	0.002373	0.000004	0.002147	0.000434	0.002362	0.000005	0.002165	
0.000325	0.002245	0.000004	0.001986	0.000333	0.002194	0.000005	0.001996	
0.000330	0.002038	0.000004	0.001843	0.000333	0.002010	0.000005	0.001858	
0.000325	0.001877	0.000004	0.001686	0.000327	0.001846	0.000005	0.001690	
0.000323	0.001784	0.000004	0.001555	0.000314	0.001745	0.000006	0.001590	
0.000326	0.001619	0.000004	0.001446	0.000331	0.001623	0.000006	0.001469	
0.000323	0.001523	0.000005	0.001309	0.000329	0.001526	0.000006	0.001390	
0.000263	0.001449	0.000005	0.001290	0.000325	0.001440	0.000006	0.001315	
0.000442	0.001426	0.000005	0.001221	0.000379	0.001408	0.000007	0.001244	
0.000438	0.001361	0.000005	0.001161	0.000334	0.001315	0.000006	0.001159	
0.000317	0.001338	0.000005	0.001119	0.000442	0.001323	0.000007	0.001137	
0.000330	0.001357	0.000005	0.001121	0.000441	0.001367	0.000007	0.001162	
0.000437	0.001437	0.000006	0.001117	0.000443	0.001396	0.000007	0.001165	
0.000445	0.001437	0.000006	0.001117	0.000335	0.001420	0.000007	0.001129	
0.000443	0.001511	0.000006	0.001144	0.000448	0.001436	0.000008	0.001159	
0.000442	0.001386	0.000005	0.001169	0.000449	0.001477	0.000008	0.001139	
0.000279	0.001545	0.000005	0.001061	0.000343	0.001532	0.000008	0.001153	
0.000332	0.001525	0.000006	0.001164	0.000455	0.001516	0.000008	0.001179	
0.000442	0.001521	0.000006	0.001104	0.000454	0.001611	0.000008	0.001141	
0.000336	0.001577	0.000006	0.001141	0.000456	0.001611	0.000009	0.001110	
0.000335	0.001612	0.000007	0.001203	0.000452	0.001618	0.000009	0.001126	
0.000335	0.001632	0.000006	0.001275	0.000350	0.001654	0.000009	0.001086	
0.000451	0.001655	0.000006	0.001064	0.000346	0.001648	0.000009	0.001118	
0.000455	0.001668	0.000006	0.001242	0.000354	0.001671	0.000009	0.001125	
0.000449	0.001702	0.000006	0.001202	0.000351	0.001679	0.000010	0.001152	
0.000446	0.001696	0.000006	0.001132	0.000352	0.001742	0.000010	0.001159	
0.000316	0.001712	0.000006	0.001121	0.000466	0.001713	0.000010	0.001173	
0.000337	0.001724	0.000006	0.001236	0.000467	0.001764	0.000010	0.001165	
0.000346	0.001723	0.000006	0.001162	0.000463	0.001741	0.000011	0.001172	
0.000333	0.001675	0.000006	0.001223	0.000468	0.001689	0.000011	0.001208	
0.000328	0.001597	0.000006	0.001203	0.000360	0.001633	0.000011	0.001190	
0.000452	0.001559	0.000007	0.001217	0.000356	0.001653	0.000011	0.001222	
0.000452	0.001526	0.000006	0.001184	0.000358	0.001577	0.000011	0.001273	
0.000345	0.001508	0.000007	0.001248	0.000360	0.001515	0.000012	0.001261	
0.000347	0.001523	0.000007	0.001211	0.000357	0.001515	0.000012	0.001260	
0.000337	0.001448	0.000007	0.001203	0.000474	0.001467	0.000014	0.001242	
0.000455	0.001432	0.000007	0.001248	0.000360	0.001446	0.000013	0.001252	
0.000340	0.001441	0.000008	0.001248	0.000471	0.001374	0.000013	0.001241	
0.000346	0.001361	0.000008	0.001205	0.000363	0.001467	0.000014	0.001219	
0.000323	0.001475	0.000008	0.001248	0.000392	0.001411	0.000016	0.001242	
0.000341	0.001440	0.000008	0.001224	0.000480	0.001323	0.000014	0.001314	
0.000452	0.001449	0.000008	0.001231	0.000353	0.001490	0.000015	0.001285	
0.000342	0.001483	0.000008	0.001271	0.000478	0.001483	0.000017	0.001322	
0.000346	0.001477	0.000008	0.001285	0.000368	0.001497	0.000016	0.001286	
0.000343	0.001472	0.000009	0.001267	0.000370	0.001544	0.000015	0.001316	
0.000339	0.001476	0.000008	0.001305	0.000367	0.001548	0.000015	0.001342	
0.000348	0.001362	0.000009	0.001328	0.000312	0.001567	0.000017	0.001348	
0.000352	0.001522	0.000009	0.001314	0.000485	0.001530	0.000017	0.001365	
0.000372	0.001473	0.000009	0.001321	0.000486	0.001548	0.000016	0.001377	
0.000347	0.001527	0.000008	0.001314	0.000402	0.001526	0.000016	0.001392	
0.000352	0.001378	0.000008	0.001351	0.000384	0.001570	0.000017	0.001443	
0.000382	0.001570	0.000009	0.001508	0.000386	0.001595	0.000018	0.001514	
0.000315	0.001577	0.000009	0.001520	0.000383	0.001620	0.000017	0.001662	
0.000348	0.001591	0.000008	0.001580	0.000384	0.001605	0.000018	0.001766	
0.000353	0.001639	0.000009	0.001801	0.000496	0.001651	0.000017	0.001963	
0.000356	0.001627	0.000009	0.001954	0.000412	0.001640	0.000019	0.002007	
0.000332	0.001620	0.000009	0.002000	0.000411	0.001647	0.000018	0.002150	
