1 100 0.000146 [0.000142 - 0.000184] 0.000008 Join(0.000001)
2 100 0.000147 [0.000145 - 0.000163] 0.000003 Join(0.000002)
3 100 0.000133 [0.000087 - 0.000184] 0.000027 Join(0.000002)
4 100 0.000123 [0.000086 - 0.000164] 0.000028 Join(0.000002)
5 100 0.000118 [0.000087 - 0.000157] 0.000026 Join(0.000003)
6 100 0.000109 [0.000047 - 0.000163] 0.000033 Join(0.000003)
7 100 0.000105 [0.000044 - 0.000152] 0.000034 Join(0.000003)
8 100 0.000094 [0.000042 - 0.000157] 0.000039 Join(0.000003)
9 100 0.000115 [0.000045 - 0.000221] 0.000046 Join(0.000003)
10 100 0.000108 [0.000061 - 0.000177] 0.000040 Join(0.000004)
11 100 0.000160 [0.000110 - 0.000239] 0.000033 Join(0.000004)
12 100 0.000151 [0.000083 - 0.000306] 0.000050 Join(0.000005)
13 100 0.000183 [0.000145 - 0.000284] 0.000045 Join(0.000004)
14 100 0.000203 [0.000145 - 0.000315] 0.000061 Join(0.000005)
15 100 0.000210 [0.000145 - 0.000349] 0.000070 Join(0.000004)
16 100 0.000251 [0.000140 - 0.000454] 0.000087 Join(0.000007)
17 100 0.000238 [0.000145 - 0.000437] 0.000104 Join(0.000004)
18 100 0.000296 [0.000145 - 0.000461] 0.000108 Join(0.000005)
19 100 0.000318 [0.000145 - 0.000553] 0.000148 Join(0.000007)
20 100 0.000323 [0.000145 - 0.000554] 0.000141 Join(0.000009)
21 100 0.000292 [0.000145 - 0.000560] 0.000117 Join(0.000007)
22 100 0.000352 [0.000145 - 0.000695] 0.000164 Join(0.000008)
23 100 0.000440 [0.000145 - 0.000703] 0.000176 Join(0.000007)
24 100 0.000332 [0.000145 - 0.000636] 0.000194 Join(0.000007)
25 100 0.000363 [0.000145 - 0.000826] 0.000261 Join(0.000004)
26 100 0.000577 [0.000145 - 0.000911] 0.000283 Join(0.000010)
27 100 0.000660 [0.000145 - 0.001118] 0.000348 Join(0.000008)
28 100 0.000621 [0.000145 - 0.001144] 0.000339 Join(0.000010)
29 100 0.000597 [0.000145 - 0.001114] 0.000326 Join(0.000008)
30 100 0.000487 [0.000145 - 0.001124] 0.000381 Join(0.000009)
31 100 0.000156 [0.000059 - 0.001090] 0.000163 Join(0.000004)
32 100 0.000766 [0.000145 - 0.001317] 0.000405 Join(0.000008)
33 100 0.000500 [0.000145 - 0.001218] 0.000413 Join(0.000009)
34 100 0.000783 [0.000145 - 0.001234] 0.000388 Join(0.000009)
35 100 0.000904 [0.000145 - 0.001457] 0.000477 Join(0.000009)
36 100 0.000910 [0.000146 - 0.001454] 0.000452 Join(0.000016)
37 100 0.000886 [0.000145 - 0.001423] 0.000445 Join(0.000014)
38 100 0.001061 [0.000145 - 0.001670] 0.000562 Join(0.000015)
39 100 0.000980 [0.000146 - 0.001628] 0.000485 Join(0.000012)
40 100 0.000563 [0.000145 - 0.001447] 0.000468 Join(0.000005)
41 100 0.000989 [0.000154 - 0.001783] 0.000540 Join(0.000015)
42 100 0.000582 [0.000068 - 0.001722] 0.000646 Join(0.000006)
43 100 0.001066 [0.000153 - 0.001890] 0.000551 Join(0.000009)
44 100 0.000667 [0.000146 - 0.001503] 0.000552 Join(0.000006)
45 100 0.001290 [0.000146 - 0.002059] 0.000687 Join(0.000017)
46 100 0.000894 [0.000154 - 0.001999] 0.000761 Join(0.000006)
47 100 0.000758 [0.000145 - 0.002024] 0.000653 Join(0.000017)
48 100 0.001051 [0.000153 - 0.002210] 0.000692 Join(0.000011)
49 100 0.001364 [0.000163 - 0.002207] 0.000679 Join(0.000022)
50 100 0.001298 [0.000158 - 0.002320] 0.000809 Join(0.000013)
51 100 0.001198 [0.000145 - 0.001942] 0.000627 Join(0.000008)
52 100 0.001212 [0.000164 - 0.002128] 0.000646 Join(0.000026)
53 100 0.001515 [0.000154 - 0.002574] 0.000815 Join(0.000027)
54 100 0.000876 [0.000145 - 0.002114] 0.000751 Join(0.000006)
55 100 0.000668 [0.000064 - 0.002004] 0.000747 Join(0.000005)
56 100 0.001372 [0.000145 - 0.002724] 0.000818 Join(0.000009)
57 100 0.001383 [0.000145 - 0.002939] 0.000903 Join(0.000008)
58 100 0.000984 [0.000145 - 0.002526] 0.000848 Join(0.000006)
59 100 0.000988 [0.000144 - 0.003081] 0.000974 Join(0.000006)
60 100 0.001140 [0.000153 - 0.003312] 0.001052 Join(0.000006)
61 100 0.001820 [0.000154 - 0.003933] 0.001039 Join(0.000024)
62 100 0.002242 [0.000154 - 0.004371] 0.001362 Join(0.000009)
63 100 0.001633 [0.000145 - 0.004272] 0.001616 Join(0.000007)
64 100 0.001513 [0.000145 - 0.004310] 0.001491 Join(0.000006)
65 100 0.001774 [0.000145 - 0.002867] 0.000952 Join(0.000027)
66 100 0.001723 [0.000145 - 0.004176] 0.001689 Join(0.000029)
67 100 0.002378 [0.000145 - 0.005385] 0.001480 Join(0.000014)
68 100 0.001580 [0.000145 - 0.005350] 0.001628 Join(0.000035)
69 100 0.002412 [0.000145 - 0.004489] 0.001432 Join(0.000008)
70 100 0.002773 [0.000145 - 0.004581] 0.001558 Join(0.000040)
71 100 0.002477 [0.000145 - 0.004567] 0.001463 Join(0.000009)
72 100 0.002597 [0.000146 - 0.005015] 0.001765 Join(0.000010)
