1 1000 0.000077 [0.000073 - 0.000122] 0.000010 Join(0.000013)
2 1000 0.000103 [0.000099 - 0.000133] 0.000006 Join(0.000022)
3 1000 0.000103 [0.000098 - 0.000150] 0.000010 Join(0.000023)
4 1000 0.000100 [0.000096 - 0.000132] 0.000008 Join(0.000022)
5 1000 0.000102 [0.000098 - 0.000132] 0.000007 Join(0.000022)
6 1000 0.000128 [0.000099 - 0.000370] 0.000072 Join(0.000025)
7 1000 0.000157 [0.000097 - 0.000348] 0.000093 Join(0.000023)
8 1000 0.000352 [0.000099 - 0.001629] 0.000397 Join(0.000025)
9 1000 0.000103 [0.000100 - 0.000135] 0.000007 Join(0.000024)
10 1000 0.000655 [0.000098 - 0.003339] 0.000909 Join(0.000027)
11 1000 0.000103 [0.000098 - 0.000143] 0.000008 Join(0.000022)
12 1000 0.000964 [0.000098 - 0.003805] 0.001323 Join(0.000027)
13 1000 0.001442 [0.000101 - 0.004062] 0.001657 Join(0.000030)
14 1000 0.000098 [0.000093 - 0.000130] 0.000007 Join(0.000023)
15 1000 0.001421 [0.000092 - 0.004632] 0.001784 Join(0.000027)
16 1000 0.001565 [0.000099 - 0.004652] 0.001916 Join(0.000028)
17 1000 0.001735 [0.000098 - 0.004782] 0.002007 Join(0.000030)
18 1000 0.001799 [0.000093 - 0.005394] 0.002313 Join(0.000027)
19 1000 0.001475 [0.000093 - 0.005028] 0.001879 Join(0.000029)
20 1000 0.000097 [0.000091 - 0.000163] 0.000015 Join(0.000021)
21 1000 0.000096 [0.000092 - 0.000138] 0.000011 Join(0.000021)
22 1000 0.002003 [0.000093 - 0.006553] 0.002616 Join(0.000035)
23 1000 0.001658 [0.000095 - 0.006121] 0.002438 Join(0.000028)
24 1000 0.002396 [0.000094 - 0.007010] 0.002988 Join(0.000030)
25 1000 0.001715 [0.000095 - 0.007078] 0.002849 Join(0.000028)
26 1000 0.002317 [0.000095 - 0.007784] 0.003308 Join(0.000027)
27 1000 0.000104 [0.000101 - 0.000163] 0.000010 Join(0.000022)
28 1000 0.002109 [0.000099 - 0.009446] 0.003264 Join(0.000029)
29 1000 0.003037 [0.000101 - 0.008971] 0.003718 Join(0.000030)
30 1000 0.000098 [0.000094 - 0.000152] 0.000009 Join(0.000023)
31 1000 0.003346 [0.000102 - 0.007942] 0.003427 Join(0.000039)
32 1000 0.002660 [0.000093 - 0.010986] 0.004065 Join(0.000028)
33 1000 0.004074 [0.000094 - 0.011040] 0.004821 Join(0.000033)
34 1000 0.003577 [0.000094 - 0.011427] 0.004801 Join(0.000030)
35 1000 0.004821 [0.000094 - 0.012715] 0.005851 Join(0.000040)
36 1000 0.000096 [0.000092 - 0.000149] 0.000009 Join(0.000021)
37 1000 0.004927 [0.000094 - 0.014739] 0.005655 Join(0.000040)
38 1000 0.004886 [0.000097 - 0.013047] 0.005477 Join(0.000041)
39 1000 0.003911 [0.000096 - 0.014305] 0.005788 Join(0.000029)
40 1000 0.004426 [0.000095 - 0.015692] 0.006442 Join(0.000039)
41 1000 0.000110 [0.000108 - 0.000153] 0.000006 Join(0.000025)
42 1000 0.000108 [0.000100 - 0.000178] 0.000015 Join(0.000023)
43 1000 0.000102 [0.000095 - 0.000168] 0.000016 Join(0.000022)
44 1000 0.005585 [0.000098 - 0.018504] 0.007733 Join(0.000034)
45 1000 0.005367 [0.000094 - 0.017951] 0.007136 Join(0.000031)
46 1000 0.005168 [0.000093 - 0.016753] 0.005823 Join(0.000036)
47 1000 0.004963 [0.000105 - 0.016100] 0.005802 Join(0.000037)
48 1000 0.005794 [0.000099 - 0.020842] 0.007480 Join(0.000032)
49 1000 0.005956 [0.000105 - 0.019824] 0.007195 Join(0.000046)
50 1000 0.005125 [0.000099 - 0.011497] 0.005261 Join(0.000046)
51 1000 0.000108 [0.000102 - 0.000150] 0.000011 Join(0.000024)
52 1000 0.006833 [0.000096 - 0.021529] 0.008754 Join(0.000038)
53 1000 0.005566 [0.000101 - 0.021163] 0.006267 Join(0.000034)
54 1000 0.008104 [0.000120 - 0.023682] 0.008784 Join(0.000039)
55 1000 0.000105 [0.000100 - 0.000159] 0.000011 Join(0.000023)
56 1000 0.000106 [0.000102 - 0.000156] 0.000011 Join(0.000023)
57 1000 0.000098 [0.000093 - 0.000152] 0.000014 Join(0.000024)
58 1000 0.000101 [0.000095 - 0.000175] 0.000017 Join(0.000022)
59 1000 0.007785 [0.000093 - 0.034106] 0.010709 Join(0.000033)
60 1000 0.007312 [0.000091 - 0.034725] 0.009424 Join(0.000032)
61 1000 0.007220 [0.000100 - 0.035233] 0.009737 Join(0.000033)
62 1000 0.012730 [0.000099 - 0.041725] 0.014245 Join(0.000039)
63 1000 0.006109 [0.000097 - 0.018873] 0.007508 Join(0.000031)
64 1000 0.007747 [0.000099 - 0.038575] 0.009622 Join(0.000033)
65 1000 0.011917 [0.000102 - 0.033340] 0.013356 Join(0.000038)
66 1000 0.008757 [0.000102 - 0.021745] 0.010227 Join(0.000049)
67 1000 0.012500 [0.000097 - 0.045395] 0.015709 Join(0.000051)
68 1000 0.009456 [0.000093 - 0.046797] 0.011083 Join(0.000032)
69 1000 0.019804 [0.000099 - 0.039557] 0.018533 Join(0.000041)
70 1000 0.015254 [0.000096 - 0.042878] 0.017841 Join(0.000051)
71 1000 0.000103 [0.000095 - 0.000145] 0.000013 Join(0.000022)
72 1000 0.016808 [0.000093 - 0.041820] 0.019183 Join(0.000049)
