1 100 0.000021 [0.000015 - 0.000271] 0.000036 Join(0.000004)
2 100 0.000021 [0.000019 - 0.000114] 0.000013 Join(0.000005)
3 100 0.000021 [0.000019 - 0.000114] 0.000013 Join(0.000006)
4 100 0.000022 [0.000019 - 0.000113] 0.000013 Join(0.000006)
5 100 0.000023 [0.000019 - 0.000110] 0.000013 Join(0.000006)
6 100 0.000023 [0.000019 - 0.000194] 0.000025 Join(0.000006)
7 100 0.000022 [0.000019 - 0.000113] 0.000013 Join(0.000006)
8 100 0.000022 [0.000019 - 0.000109] 0.000013 Join(0.000006)
9 100 0.000024 [0.000021 - 0.000117] 0.000014 Join(0.000006)
10 100 0.000022 [0.000019 - 0.000112] 0.000013 Join(0.000006)
11 100 0.000022 [0.000019 - 0.000113] 0.000013 Join(0.000006)
12 100 0.000023 [0.000019 - 0.000118] 0.000014 Join(0.000006)
13 100 0.000023 [0.000020 - 0.000118] 0.000014 Join(0.000006)
14 100 0.000024 [0.000020 - 0.000146] 0.000018 Join(0.000006)
15 100 0.000022 [0.000019 - 0.000112] 0.000013 Join(0.000006)
16 100 0.000022 [0.000019 - 0.000113] 0.000013 Join(0.000006)
17 100 0.000023 [0.000019 - 0.000115] 0.000014 Join(0.000006)
18 100 0.000022 [0.000019 - 0.000116] 0.000014 Join(0.000006)
19 100 0.000022 [0.000020 - 0.000114] 0.000013 Join(0.000006)
20 100 0.000021 [0.000019 - 0.000114] 0.000013 Join(0.000006)
21 100 0.000023 [0.000019 - 0.000131] 0.000016 Join(0.000006)
22 100 0.000024 [0.000019 - 0.000115] 0.000014 Join(0.000006)
23 100 0.000021 [0.000019 - 0.000114] 0.000013 Join(0.000006)
24 100 0.000022 [0.000019 - 0.000128] 0.000015 Join(0.000006)
25 100 0.000022 [0.000019 - 0.000124] 0.000015 Join(0.000005)
26 100 0.000024 [0.000020 - 0.000148] 0.000018 Join(0.000006)
27 100 0.000023 [0.000020 - 0.000120] 0.000014 Join(0.000006)
28 100 0.000022 [0.000019 - 0.000119] 0.000014 Join(0.000006)
29 100 0.000023 [0.000019 - 0.000118] 0.000014 Join(0.000006)
30 100 0.000024 [0.000020 - 0.000123] 0.000015 Join(0.000007)
31 100 0.000022 [0.000019 - 0.000130] 0.000016 Join(0.000006)
32 100 0.000022 [0.000019 - 0.000117] 0.000014 Join(0.000006)
33 100 0.000022 [0.000019 - 0.000117] 0.000014 Join(0.000006)
34 100 0.000022 [0.000019 - 0.000118] 0.000014 Join(0.000006)
35 100 0.000024 [0.000020 - 0.000122] 0.000015 Join(0.000006)
36 100 0.000021 [0.000019 - 0.000117] 0.000014 Join(0.000006)
37 100 0.000022 [0.000019 - 0.000122] 0.000014 Join(0.000006)
38 100 0.000022 [0.000019 - 0.000122] 0.000015 Join(0.000006)
39 100 0.000022 [0.000019 - 0.000133] 0.000016 Join(0.000006)
40 100 0.000023 [0.000019 - 0.000146] 0.000018 Join(0.000006)
41 100 0.000022 [0.000019 - 0.000123] 0.000015 Join(0.000006)
42 100 0.000023 [0.000019 - 0.000134] 0.000016 Join(0.000006)
43 100 0.000022 [0.000019 - 0.000133] 0.000016 Join(0.000006)
44 100 0.000021 [0.000019 - 0.000114] 0.000013 Join(0.000006)
45 100 0.000022 [0.000019 - 0.000124] 0.000015 Join(0.000006)
46 100 0.000025 [0.000021 - 0.000130] 0.000016 Join(0.000007)
47 100 0.000024 [0.000020 - 0.000134] 0.000016 Join(0.000006)
48 100 0.000024 [0.000021 - 0.000121] 0.000014 Join(0.000006)
49 100 0.000025 [0.000021 - 0.000136] 0.000016 Join(0.000006)
50 100 0.000025 [0.000021 - 0.000136] 0.000016 Join(0.000006)
51 100 0.000025 [0.000021 - 0.000155] 0.000019 Join(0.000007)
52 100 0.000026 [0.000021 - 0.000175] 0.000022 Join(0.000006)
53 100 0.000024 [0.000020 - 0.000157] 0.000019 Join(0.000006)
54 100 0.000026 [0.000021 - 0.000173] 0.000022 Join(0.000006)
55 100 0.000023 [0.000019 - 0.000117] 0.000014 Join(0.000006)
56 100 0.000022 [0.000019 - 0.000142] 0.000017 Join(0.000006)
57 100 0.000022 [0.000019 - 0.000124] 0.000015 Join(0.000005)
58 100 0.000023 [0.000019 - 0.000128] 0.000015 Join(0.000006)
59 100 0.000023 [0.000019 - 0.000167] 0.000021 Join(0.000006)
60 100 0.000024 [0.000019 - 0.000212] 0.000027 Join(0.000006)
61 100 0.000023 [0.000019 - 0.000149] 0.000018 Join(0.000006)
62 100 0.000023 [0.000019 - 0.000169] 0.000021 Join(0.000006)
63 100 0.000024 [0.000019 - 0.000197] 0.000025 Join(0.000006)
64 100 0.000023 [0.000019 - 0.000185] 0.000023 Join(0.000006)
65 100 0.000026 [0.000020 - 0.000135] 0.000017 Join(0.000008)
66 100 0.000023 [0.000019 - 0.000193] 0.000025 Join(0.000006)
67 100 0.000022 [0.000019 - 0.000157] 0.000019 Join(0.000006)
68 100 0.000022 [0.000019 - 0.000119] 0.000014 Join(0.000006)
69 100 0.000023 [0.000019 - 0.000192] 0.000024 Join(0.000006)
70 100 0.000023 [0.000019 - 0.000167] 0.000021 Join(0.000006)
71 100 0.000027 [0.000019 - 0.000202] 0.000026 Join(0.000007)
72 100 0.000026 [0.000019 - 0.000171] 0.000022 Join(0.000007)
